section,transect/sample_id,unit,strat_height,sample_description,altered,87Sr/86Sr,87Sr/86Sr_error,n,Mg/Ca_mol,soluble_wtperc,Ca_wtperc,Mg_wtperc,Sr_ppm,Fe_ppm,Mn_ppm,d13C,d18O,d13C_org,e_TOC,TOC_wtperc,PIA
Shiraro, T4-15-01,Shiraro Cgl,360,Arkosic sandstone,,,,,,,,,,,,,,,,,
Shiraro, T4-20-03a,Didikama Fm,78,Pelloidal PS (brown altered NFC),1,0.706718,18,2,0.01,86,37.38,0.14,125,944,1704,-0.96,-13.15,-27.34,27.12,0.01,
Shiraro, T4-20-03b,Didikama Fm,78,Pelloidal PS (FC),,0.706129,20,2,0.09,90,36.52,2.04,682,16602,4732,-2.78,-5.87,,,,
Shiraro, T4-20-02,Didikama Fm,69,Intraclastic PS (FC),,0.706134,23,3,0.03,92,38.33,0.71,529,4568,2212,-3.29,-12.39,-27.98,25.4,0.02,
Shiraro, T4-20-01,Didikama Fm,60,Pelloidal PS,1,0.705667,21,3,0.06,92,36.92,1.33,360,4500,2223,1.6,-10.13,-27.07,29.47,0.01,
Shiraro, T4-19-01a,Didikama Fm,38,Intraclastic GS (NFC),1,0.706292,21,2,0.01,89,37.71,0.17,129,2233,1943,-0.38,-11.03,-22.75,22.89,0.02,
Shiraro, T4-19-01b,Didikama Fm,38,Intraclastic GS (FC),,0.706063,16,3,0.05,94,35.18,1.11,373,9094,2124,-3.07,-6.96,,,,
Shiraro, T5-06-04,Didikama Fm,27,Slate,,,,,,,,,,,,,,,,,
Shiraro, T5-06-03,Didikama Fm,26,Intraclastic MS w/compound micropeloidal grains,,0.70609,10,1,0.65,96,28.1,11.12,473,20759,3350,3.8,-11.32,-25.51,30.08,0.04,
Shiraro, T5-06-02,Didikama Fm,24,Micropeloidal PS/GS (FC),,0.706096,10,1,0.1,91,37.56,2.27,643,18342,4404,3.95,-11.82,-21.25,25.75,0.05,
Shiraro, T5-06-01a,Didikama Fm,20.3,Intraclastic micropeloidal PS/GS (FC),,0.70616,8,1,0.03,88,39.59,0.66,703,11378,4369,2.99,-12.41,-22.5,26.08,0.04,
Shiraro, T5-06-01b,Didikama Fm,20,Slate,,,,,,,,,,,,,,,,,
Mai Kenetal A, T5-5-13,Mai Kenetal LS,1896,Relict texture of micropeloidal PS/GS? (FC),,0.706726,9,1,0.02,100,41.42,0.48,2743,86,20,6.64,-3.67,-28.39,36.05,0.13,
Mai Kenetal A, T5-5-12,Mai Kenetal LS,1875,Pelloidal PS/microbial BS? (NFC),,0.706724,9,1,0.01,100,41.02,0.31,1961,573,53,4.44,-3.64,-24.43,29.59,0.09,
Mai Kenetal A, T5-5-11,Mai Kenetal LS,1859,Micropeloidal MS,,0.706723,10,1,0.03,95,41.4,0.87,1840,1405,86,4.83,-4.38,-24.92,30.51,0.1,
Mai Kenetal A, T5-5-10,Mai Kenetal LS,1838,Laminated MS,,0.706704,8,1,0.09,89,40.08,2.24,1900,3528,172,5.06,-6.83,-24.99,30.82,0.31,
Mai Kenetal A, T5-5-9,Mai Kenetal LS,1810,Micropeloidal PS?,,0.706735,7,1,0.01,97,41.22,0.18,2781,1307,106,5.46,-7.63,-21.92,27.99,0.16,
Mai Kenetal A, T5-5-8,Mai Kenetal LS,1773,MS DL,,0.706726,8,1,0.01,89,43.35,0.29,2722,2187,332,5.56,-9.3,-24.35,30.66,0.23,
Mai Kenetal A, T5-5-7,Mai Kenetal LS,1752,MS,,0.706732,9,1,0.02,93,38.99,0.4,2903,2017,191,5.32,-9.77,-24.13,30.18,0.15,
Mai Kenetal A, T5-5-6,Mai Kenetal LS,1731,Laminated MS/microbial BS?,,0.706735,8,1,0.03,99,40.25,0.61,2839,1477,152,5.65,-7.33,-24.26,30.65,0.14,
Mai Kenetal A, T5-5-5,Mai Kenetal LS,1710,Laminated MS,,0.706725,9,1,0.04,96,39.44,0.95,2018,2492,159,5.49,-8.53,-23.34,29.52,0.14,
Mai Kenetal A, T5-5-4,Mai Kenetal LS,1649,MS,,0.70671,8,1,0.01,88,40.81,0.33,2397,1654,436,5.28,-8.78,-24.54,30.57,0.24,
Mai Kenetal A, T5-5-3,Mai Kenetal LS,1600,MS,,0.706674,6,1,0.14,88,36.84,3.23,2769,8123,279,5,-7.16,-24.97,30.74,0.2,
Mai Kenetal A, T5-5-2,Mai Kenetal LS,1582,MS,,0.706647,9,1,0.02,92,39.45,0.46,2178,2763,321,7.22,-9.18,-24.51,32.53,0.12,
Mai Kenetal A, T5-5-1,Tsedia Slate,1550,MS (FC + Dol? in matrix/fractures),1,0.705813,9,1,0.14,88,35.01,2.92,1516,14609,1133,7.27,-9,-25.91,34.06,0.17,
Mai Kenetal B, T3-16-16,Mai Kenetal LS,1855,Micropeloidal WS DL organic rich,,0.706746,15,2,0.01,95,34.71,0.2,2323,1100,85,4.77,-3.26,-28.35,34.09,0.1,
Mai Kenetal B, T3-16-15,Mai Kenetal LS,1839,Micropeloidal MS/WS IL organic rich,,0.706721,16,2,0.01,95,40.36,0.18,1891,1933,62,5.52,-5.85,-25.99,32.35,0.15,
Mai Kenetal B, T3-16-13,Mai Kenetal LS,1805,Laminated MS/micropeloidal WS organic rich,,0.706789,14,2,0.02,86,39.32,0.56,2577,3353,232,6.27,-9.97,-25.92,33.04,0.11,
Mai Kenetal B, T3-16-12,Mai Kenetal LS,1788,Intraclastic GS/PS organic rich,,0.70678,15,2,0.04,99,35.95,0.85,2465,1969,163,4.54,-6.58,-23.9,29.13,0.14,
Mai Kenetal B, T3-16-11,Mai Kenetal LS,1772,Intraclastic WS/PS organic rich,,0.706711,15,2,0.01,92,39.72,0.26,2896,2229,405,4.96,-9.97,-26.66,32.49,0.1,
Mai Kenetal B, T3-16-10,Mai Kenetal LS,1755,Micropeloidal WS organic rich,,0.70673,16,3,0.02,90,39.3,0.38,2309,2871,152,4.96,-8.85,-24.4,30.09,0.14,
Mai Kenetal B, T3-16-09,Mai Kenetal LS,1739,Intraclastic GS organic rich,,0.706736,15,2,0.04,99,38.32,1,2101,1935,179,,,-24.66,,0.18,
Mai Kenetal B, T3-16-08,Mai Kenetal LS,1721,MS/micropeloidal WS,,0.706749,27,3,0.02,68,41.16,0.6,3019,7763,564,4.82,-6.68,-29.17,35.01,0.09,
Mai Kenetal B, T3-16-07,Mai Kenetal LS,1705,Intraclastic GS organic rich,,0.706766,18,3,0.01,98,40.72,0.32,2072,1072,135,4.49,-5.25,-25.48,30.75,0.19,
Mai Kenetal B, T3-16-06,Mai Kenetal LS,1689,Intraclastic GS organic rich,,0.706808,24,2,0.01,94,39.79,0.36,2737,1348,181,5.7,-8.93,-24.52,30.98,0.22,
Mai Kenetal B, T3-16-05,Mai Kenetal LS,1671,MS/WS,,0.706774,19,2,0.02,94,39.79,0.36,2597,1923,138,5.56,-9,-26.6,33.04,0.1,
Mai Kenetal B, T3-16-04,Mai Kenetal LS,1654,Intraclastic WS,,0.706744,15,2,0.03,85,39.79,0.36,2018,2413,207,5.29,-10.22,-25.18,31.26,0.06,
Mai Kenetal B, T3-16-03,Tsedia Slate,1550,MS organic rich,1,0.706151,16,2,0.41,48,27.68,6.89,1759,34774,2860,2.27,-7.99,-24.96,27.93,0.28,
Mai Kenetal B, T3-16-02,Tsedia Slate,1405,Intraclastic MS?,,0.70633,23,2,0.02,82,41.49,0.4,1133,4121,618,1.9,-10.82,-27.14,29.85,0.06,
Mai Kenetal B, T3-16-01,Tsedia Slate,1390,Calcareous slate laminated,,0.706312,14,2,0.03,45,37.61,0.67,1262,13984,2496,1.13,-13.06,-24.68,26.47,0.04,
Mai Kenetal B, T3-15-18,Assem LS,1189,Microbial BS/stromatolite,1,0.705946,13,2,0.06,96,41.36,1.42,299,2206,500,-1.22,-12.67,-29.05,28.66,0.01,
Mai Kenetal B, T3-15-17,Assem LS,1165,Microbial BS/stromatolite,,0.706132,16,2,0.2,97,35.34,4.18,192,902,131,-0.72,-11.67,-28.44,28.54,0.01,
Mai Kenetal B, T3-15-16,Assem LS,1140,Dolospar/microspar replaced fabric,1,0.7059,14,2,0.91,95,22.47,12.39,87,1129,123,-2.08,-5.3,-40.32,39.85,0.02,
Mai Kenetal B, T3-15-15,Assem LS,1116,Micropeloidal MS/WS/microbial BS? dolomitic,,0.706165,14,2,0.15,99,37.61,3.43,164,696,72,-2.17,-9.39,-26.48,24.97,0.02,
Mai Kenetal B, T3-15-14,Assem LS,1091.2,Microbial BS/MS,,0.706173,16,2,0.04,99,41.77,0.98,225,568,58,-1.68,-11.63,,,,
Mai Kenetal B, T3-15-14b,Assem LS,1091,Intraclastic GS (dolomitized clast sampled),1,0.705948,12,2,0.57,89,27.95,9.65,182,4161,165,-1.16,-10.19,-31.39,31.21,0.02,
Mai Kenetal B, T3-15-14b,Assem LS,1091,Intraclastic GS (NFC),,0.706298,13,2,0.01,96,43.95,0.25,354,845,61,-1.92,-8.6,,,,
Mai Kenetal B, T3-15-13b,Assem LS,1067.2,Layered MS partially replaced by dolomite,1,0.706319,17,2,0.3,94,31.99,5.91,198,4850,270,-1.43,-8.84,-29.52,28.95,0.03,
