section,sample,formation,section_m,strat_m,d13C,d18O
F833,F833-1.0,PF1a,1,1,1.58,-5.67
F833,F833-2.6,PF1a,2.6,2.6,2.11,-4.82
F833,F833-3.2,PF1a,3.2,3.2,-0.13,-6.42
F833,F833-4.0,PF1a,4,4,-0.48,-6.07
F833,F833-5.0,PF1a,5,5,0.08,-6.35
F833,F833-9.0,PF1a,9,9,1.18,-5.86
F833,F833-11.4,PF1a,11.4,11.4,0.81,-6.63
F833,F833-12.0,PF1a,12,12,1.39,-6.42
F833,F833-13.0,PF1a,13,13,1.48,-6.27
F833,F833-14.0,PF1a,14,14,0.6,-5.77
F833,F833-15.0,PF1a,15,15,1.64,-6.2
F833,F833-16.0,PF1a,16,16,1.73,-6.25
F833,F833-17.0,PF1a,17,17,1.42,-5.79
F833,F833-18.0,PF1a,18,18,1.25,-6.99
F833,F833-19.0,PF1a,19,19,1.15,-8.14
F833,F833-20.0,PF1a,20,20,1.21,-7.36
F833,F833-21.1,PF1a,21.1,21.1,1.19,-6.34
F833,F833-22.0,PF1a,22,22,0.97,-6.02
F833,F833-23.0,PF1a,23,23,0.77,-6.25
F833,F833-25.0,PF1a,25,25,1.26,-6.3
F833,F833-27.0,PF1a,27,27,1.34,-6.03
F833,F833-28.0,PF1a,28,28,1.03,-7.72
F833,F833-29.0,PF1a,29,29,1.44,-6.68
F833,F833-30.0,PF1a,30,30,1.07,-7.06
F833,F833-31.0,PF1a,31,31,0.95,-6.51
F833,F833-33.0,PF1a,33,33,0.27,-6.79
F833,F833-34.0,PF1a,34,34,0.12,-5.93
F833,F833-35.0,PF1a,35,35,1.71,-5.62
F833,F833-36.3,PF1a,36.3,36.3,0.34,-7.45
F833,F833-37.0,PF1a,37,37,1.44,-6.07
F833,F833-38.0,PF1a,38,38,0.73,-6.73
F833,F833-39.0,PF1a,39,39,-0.43,-7.35
F833,F833-40.0,PF1a,40,40,1.05,-6.58
F833,F833-41.0,PF1a,41,41,-0.07,-6.56
F833,F833-44.0,PF1a,44,44,0.62,-6.86
F833,F833-45.0,PF1a,45,45,1.18,-6.36
F833,F833-46.0,PF1a,46,46,0.71,-5.86
F833,F833-47.0,PF1a,47,47,0.01,-6.11
F833,F833-49.0,PF1a,49,49,0.25,-6.71
F833,F833-50.0,PF1a,50,50,0.39,-5.9
F833,F833-51.1,PF1a,51.1,51.1,-0.33,-6.13
F833,F833-52.0,PF1a,52,52,0.36,-6.58
F833,F833-53.0,PF1a,53,53,0.57,-6.57
F833,F833-54.0,PF1a,54,54,-0.8,-6.87
F833,F833-55.0,PF1a,55,55,0.63,-5.81
F833,F833-56.0,PF1a,56,56,-0.17,-5.74
F833,F833-57.0,PF1a,57,57,-0.32,-6.16
F833,F833-58.0,PF1a,58,58,-0.71,-4.3
F833,F833-59.0,PF1a,59,59,-0.46,-5.32
F833,F833-60.0,PF1a,60,60,-0.37,-6.4
F833,F833-60.8,PF1a,60.8,60.8,-0.7,-6.01
F833,F833-69.6,PF1a,69.6,69.6,0.32,-6.61
F833,F833-70.5,PF1a,70.5,70.5,1.38,-6.65
F833,F833-71.5,PF1a,71.5,71.5,1.49,-6.06
F833,F833-88.2,PF1a,88.2,88.2,0.41,-5.97
F833,F833-89.0,PF1a,89,89,1.48,-5.82
F833,F833-90.0,PF1a,90,90,1.37,-5.44
F833,F833-91.0,PF1a,91,91,0.88,-5.93
F833,F833-92.0,PF1a,92,92,1.16,-5.97
F833,F833-93.0,PF1a,93,93,1.23,-5.44
F833,F833-94.0,PF1a,94,94,1.25,-5.67
F833,F833-95.0,PF1a,95,95,1.37,-6.78
F833,F833-96.0,PF1a,96,96,1.23,-5.67
F833,F833-98.0,PF1a,98,98,0.59,-6.2
F833,F833-106.6,PF1a,106.6,106.6,0.93,-5.81
F833,F833-107.5,PF1a,107.5,107.5,1.17,-6.75
F833,F833-115.0,PF1a,115,115,1.42,-6.81
F833,F833-116.0,PF1a,116,116,1.22,-5.84
F833,F833-117.0,PF1a,117,117,0.62,-6.19
F833,F833-118.0,PF1a,118,118,0.91,-5.85
F833,F833-119.6,PF1a,119.6,119.6,1.15,-6.77
F833,F833-121.0,PF1a,121,121,0.99,-7.31
F833,F833-122.0,PF1a,122,122,1.46,-7.06
F833,F833-123.0,PF1a,123,123,1.08,-7.1
F833,F833-124.0,PF1a,124,124,1.39,-6.58
F833,F833-125.0,PF1a,125,125,1.08,-7.4
F833,F833-126.0,PF1a,126,126,1.77,-5.92
F833,F833-127.0,PF1a,127,127,1.4,-5.88
F833,F833-128.0,PF1a,128,128,1.4,-6.46
F833,F833-129.0,PF1a,129,129,1.5,-6.23
F833,F833-130.0,PF1a,130,130,1.39,-6.48
F833,F833-131.0,PF1a,131,131,1.42,-6.34
F833,F833-132.0,PF1a,132,132,1.32,-6.47
F833,F833-133.0,PF1a,133,133,1,-6.22
F833,F833-134.0,PF1a,134,134,1.46,-6.47
F833,F833-135.3,PF1a,135.3,135.3,1.4,-5.63
F833,F833-136.0,PF1a,136,136,1.53,-5.68
F833,F833-138.0,PF1a,138,138,-0.02,-6.54
F833,F833-139.0,PF1a,139,139,0.26,-6.53
F833,F833-141.0,PF1a,141,141,1.97,-5.46
F833,F833-143.0,PF1a,143,143,3.31,-4.18
F833,F833-144.0,PF1a,144,144,1.28,-4.61
F833,F833-145.0,PF1a,145,145,2.36,-4.81
F833,F833-145.9,PF1a,145.9,145.9,1.18,-5.9
F833,F833-146.0,PF1a,146,146,1.21,-6.1
F833,F833-147.0,PF1a,147,147,1.67,-5.92
F833,F833-148.0,PF1a,148,148,1.45,-5.83
F833,F833-150.0,PF1a,150,150,1.55,-5.87
F833,F833-151.0,PF1a,151,151,1.5,-6.11
F833,F833-151.8,PF1a,151.8,151.8,2.02,-5.19
F833,F833-153.0,PF1a,153,153,1.44,-6.06
F833,F833-154.0,PF1a,154,154,1.55,-6.02
F833,F833-155.0,PF1a,155,155,1.8,-5.72
F833,F833-157.0,PF1a,157,157,1.64,-6.09
F833,F833-158.0,PF1a,158,158,1.53,-5.98
F833,F833-159.0,PF1a,159,159,1.75,-5.82
F833,F833-160.0,PF1a,160,160,1.87,-5.97
F833,F833-161.0,PF1a,161,161,1.96,-5.78
F833,F833-163.0,PF1a,163,163,1.75,-6.12
F833,F833-163.2,PF1a,163.2,163.2,1.73,-5.95
F833,F833-164.0,PF1a,164,164,1.17,-5.81
F833,F833-165.0,PF1a,165,165,1.47,-5.97
F833,F833-166.0,PF1a,166,166,2.28,-5.57
F833,F833-168.0,PF1a,168,168,0.69,-6.23
F833,F833-169.2,PF1a,169.2,169.2,1.55,-5.83
F833,F833-169.8,PF1a,169.8,169.8,1.15,-6.95
F833,F833-171.2,PF1a,171.2,171.2,1.72,-5.82
F833,F833-172.0,PF1a,172,172,1.84,-6.51
F833,F833-173.2,PF1a,173.2,173.2,1.75,-6.2
F833,F833-174.0,PF1a,174,174,1.74,-5.77
F833,F833-175.0,PF1a,175,175,1.58,-6.3
F833,F833-176.0,PF1a,176,176,1.98,-5.59
F833,F833-177.0,PF1a,177,177,2.01,-5.43
F833,F833-178.0,PF1a,178,178,2.12,-5.77
F833,F833-179.0,PF1a,179,179,2.18,-6.34
F833,F833-180.0,PF1a,180,180,1.97,-6.11
F833,F833-181.0,PF1a,181,181,2.12,-6.42
F833,F833-182.0,PF1a,182,182,2.07,-6.24
F833,F833-183.0,PF1a,183,183,2.31,-5.82
F833,F833-184.0,PF1a,184,184,2.04,-6.03
F833,F833-185.0,PF1a,185,185,2.47,-5.79
F833,F833-186.0,PF1a,186,186,3.81,-4.83
F833,F833-191.0,PF1a,191,191,6.16,-7.53
F833,F833-200.0,PF1a,200,200,5.49,-7.45
F833,F833-202.0,PF1a,202,202,4.18,-7.62
F833,F833-203.0,PF1a,203,203,2.94,-5.18
F833,F833-204.0,PF1a,204,204,4.66,-5.57
F833,F833-205.0,PF1a,205,205,4.79,-7.5
F833,F833-206.0,PF1a,206,206,4.21,-6.19
F833,F833-207.0,PF1a,207,207,4.16,-6.01
F833,F833-208.0,PF1a,208,208,4.16,-5.62
F833,F833-209.0,PF1a,209,209,4.89,-5.86
F833,F833-210.0,PF1a,210,210,4.07,-6.19
F833,F833-211.0,PF1a,211,211,5.3,-5.76
F833,F833-212.0,PF1a,212,212,3.55,-5.99
F833,F833-215.2,PF1a,215.2,215.2,2.73,-6.55
F833,F833-235.5,PF1a,235.5,235.5,2.85,-5.64
F833,F833-236.0,PF1a,236,236,3.06,-5.6
F833,F833-237.0,PF1a,237,237,3.18,-5.91
F833,F833-238.5,PF1a,238.5,238.5,3.58,-5.7
F833,F833-239.0,PF1a,239,239,4.01,-5.41
F833,F833-240.0,PF1a,240,240,3.31,-5.45
F833,F833-241.0,PF1a,241,241,2.89,-5.48
F833,F833-242.0,PF1a,242,242,3.07,-5.32
F833,F833-243.0,PF1a,243,243,3.11,-5.56
F833,F833-244.0,PF1a,244,244,2.93,-5.82
F833,F833-247.0,PF1a,247,247,4.35,-6
F833,F833-248.0,PF1a,248,248,3.53,-1.69
F833,F833-250.0,PF1a,250,250,3.66,-5.41
F833,F833-251.0,PF1a,251,251,2.79,-5.52
F833,F833-255.0,PF1a,255,255,3.46,-6.06
F833,F833-256.0,PF1a,256,256,3.02,-5.31
F833,F833-257.0,PF1a,257,257,3.15,-5.94
F833,F833-313.0,PF1a,313,313,6.05,-4.79
F833,F833-314.0,PF1a,314,314,5.16,-5.02
F833,F833-323.5,PF1a,323.5,323.5,6.34,-4.52
F833,F833-324.5,PF1a,324.5,324.5,4.97,-4.75
F833,F833-325.3,PF1a,325.3,325.3,4.23,-4.87
F833,F833-353.0,PF1a,353,353,4.21,-4.73
F833,F833-355.0,PF1a,355,355,5.73,-4.24
F833,F833-356.0,PF1a,356,356,5.54,-4.8
F833,F833-357.0,PF1a,357,357,6.1,-3.74
F833,F833-358.0,PF1a,358,358,4.89,-5.41
F833,F833-359.0,PF1a,359,359,4.7,-5.34
F833,F833-361.0,PF1a,361,361,5.86,-4.44
F833,F833-362.0,PF1a,362,362,5.41,-4.05
F833,F833-363.0,PF1a,363,363,5.24,-3.92
F833,F833-364.0,PF1a,364,364,5.22,-5.43
F833,F833-366.0,PF1a,366,366,4.6,-5.5
F833,F833-367.0,PF1a,367,367,5.54,-4.84
F833,F833-368.0,PF1a,368,368,5.87,-3.47
F833,F833-369.0,PF1a,369,369,5.34,-5.54
F833,F833-370.0,PF1a,370,370,6.3,-5.99
F833,F833-371.0,PF1a,371,371,5.62,-3.89
F833,F833-374.0,PF1a,374,374,5.96,-3.62
F833,F833-375.0,PF1a,375,375,5.62,-4.51
F833,F833-376.0,PF1a,376,376,5.79,-5.22
F833,F833-377.0,PF1a,377,377,5.66,-5.66
F833,F833-378.0,PF1a,378,378,6.15,-4.98
F833,F833-380.0,PF1a,380,380,6.44,-4.62
F833,F833-381.0,PF1a,381,381,6.05,-5.14
F833,F833-382.0,PF1a,382,382,5.92,-4.57
F833,F833-383.0,PF1a,383,383,6,-5.33
F833,F833-384.0,PF1a,384,384,5.68,-6.15
F833,F833-385.0,PF1a,385,385,5.76,-6.07
F833,F833-386.0,PF1a,386,386,5.67,-6.02
F833,F833-387.0,PF1a,387,387,5.96,-4.89
F833,F833-388.0,PF1a,388,388,6.49,-5.12
F833,F833-389.0,PF1a,389,389,7.12,-3.08
F833,F833-390.5,PF1a,390.5,390.5,5.91,-5.22
F833,F833-391.5,PF1a,391.5,391.5,7.52,-5.21
F833,F833-392.5,PF1a,392.5,392.5,6.39,-5.32
F833,F833-393.0,PF1a,393,393,7.54,-5.24
F833,F833-394.0,PF1a,394,394,5.96,-5.27
F833,F833-395.0,PF1a,395,395,6.64,-5.36
F833,F833-396.0,PF1a,396,396,6.08,-5.51
F833,F833-397.0,PF1a,397,397,6.6,-5.63
F833,F833-398.0,PF1a,398,398,6.32,-6.09
F833,F833-399.0,PF1a,399,399,6.39,-5.45
F833,F833-400.0,PF1a,400,400,6.28,-5.71
F833,F833-401.0,PF1a,401,401,6.8,-5.75
F833,F833-402.0,PF1a,402,402,6.57,-5.42
F833,F833-403.0,PF1a,403,403,6.23,-5.67
F833,F833-404.0,PF1a,404,404,6.99,-4.88
F833,F833-405.0,PF1a,405,405,6.88,-2.9
F833,F833-406.0,PF1a,406,406,6.49,-5.56
F833,F833-407.0,PF1a,407,407,6.98,-4.56
F833,F833-408.0,PF1a,408,408,6.93,-7.42
F833,F833-409.0,PF1a,409,409,5.12,-5.32
F834,F834-0.0,PF1a,0,394,5.76,-5.97
F834,F834-1.0,PF1a,1,395,6.12,-3.14
F834,F834-2.0,PF1a,2,396,6.39,-5.84
F834,F834-3.0,PF1a,3,397,6.13,-5.99
F834,F834-4.0,PF1a,4,398,6.35,-5.92
F834,F834-6.0,PF1a,6,400,6.71,-6.25
F834,F834-7.0,PF1a,7,401,6.06,-6.44
F834,F834-8.0,PF1a,8,402,6.11,-6.76
F834,F834-9.0,PF1a,9,403,6.16,-6.02
F834,F834-10.0,PF1a,10,404,6.12,-6.14
F834,F834-11.0,PF1a,11,405,6.69,-5.55
F834,F834-12.0,PF1a,12,406,6.38,-5.68
F834,F834-13.0,PF1a,13,407,6.69,-6.01
F834,F834-14.0,PF1a,14,408,6.89,-3.32
F834,F834-15.0,PF1a,15,409,5.13,-4.95
F834,F834-16.0,PF1a,16,410,6.39,-4.55
