section,section_strat,d13C,d18O,mineralogy,formation
S1,8.2,4.71,-5.45,Is,Wynniatt
S1,8.7,4.69,-4.36,Is,Wynniatt
S1,9.2,4.44,-5.57,Is,Wynniatt
S1,10.2,3.89,-7.14,Is,Wynniatt
S1,10.7,4.48,-7.44,Is,Wynniatt
S1,11.7,5.2,-6.57,Is,Wynniatt
S1,12.9,5.06,-6.65,Is,Wynniatt
S1,13.4,4.69,-7.45,Is,Wynniatt
S1,13.8,5.34,-6.27,Is,Wynniatt
S1,14.5,5.77,-5.89,Is,Wynniatt
S1,15.6,4.53,-8.57,Is,Wynniatt
S1,16.6,4.89,-7.59,Is,Wynniatt
S1,17.6,5.29,-6.89,Is,Wynniatt
S1,18.2,4.09,-9.46,Is,Wynniatt
S1,18.9,4.22,-8.7,Is,Wynniatt
S1,19.9,4.63,-5.97,Is,Wynniatt
S1,20.3,4.11,-4.63,Is,Wynniatt
S1,20.8,3.72,-4.45,Is,Wynniatt
S1,21.9,3.43,-5.08,Is,Wynniatt
S1,22.5,3.77,-2.55,Is,Wynniatt
S1,23.3,3.36,-5.08,Is,Wynniatt
S1,23.9,2.06,-9.69,Is,Wynniatt
S1,24.3,3.45,-6.09,Is,Wynniatt
S1,25.5,2.35,-10.57,Is,Wynniatt
S1,25.6,2.39,-10.87,Is,Wynniatt
S1,27.2,3.34,-12.74,Is,Wynniatt
S1,28.2,1.4,-12.72,Is,Wynniatt
S1,32.3,2.27,-11.44,Is,Wynniatt
S1,32.9,3.33,-8.91,dl,Wynniatt
S1,33.7,3.9,-7.77,dl,Wynniatt
S1,34.5,3.17,-9.45,dl,Wynniatt
S1,35.5,3.88,-7.69,dl,Wynniatt
S1,36.2,3.93,-8.07,dl,Wynniatt
S1,36.7,4.08,-7.83,dl,Wynniatt
S1,37.2,3.8,-7.91,dl,Wynniatt
S1,37.7,3.81,-7.71,dl,Wynniatt
S1,38.2,4.45,-5.92,dl,Wynniatt
S1,38.7,3.6,-7.56,dl,Wynniatt
S1,39.2,3.64,-6.94,dl,Wynniatt
S1,39.7,3.69,-6.48,dl,Wynniatt
S1,40.2,3.48,-6.81,dl,Wynniatt
S1,40.7,3.18,-9,dl,Wynniatt
S1,41.7,3.83,-7.46,dl,Wynniatt
S1,42.2,3.4,-8.96,dl,Wynniatt
S1,43.3,3.22,-9.11,Is,Wynniatt
S1,44.1,2.49,-9.23,dl,Wynniatt
S1,61.3,4.05,-4.54,dl,Wynniatt
S1,62.1,4.24,-3.88,dl,Wynniatt
S1,62.6,4.19,-4.26,dl,Wynniatt
S1,63.6,4.09,-4.52,dl,Wynniatt
S1,64.3,2.58,-9.02,Is,Wynniatt
S1,64.9,4.02,-5,Is,Wynniatt
S2,1.5,4.31,-5.25,Is,Wynniatt
S2,2.4,4.61,-3.8,Is,Wynniatt
S2,3,4.64,-2.91,Is,Wynniatt
S2,4,4.93,-3.85,Is,Wynniatt
S2,4.5,4.74,-2.92,Is,Wynniatt
S2,5.1,4.99,-3.13,Is,Wynniatt
S2,5.6,4.32,-2.77,Is,Wynniatt
S2,6.3,4.33,-1.59,Is,Wynniatt
S2,6.8,4.56,-1.52,Is,Wynniatt
S2,7.2,4.26,-3.84,Is,Wynniatt
S2,8.5,4.08,-3.95,Is,Wynniatt
S2,10.1,6.24,-6.45,Is,Wynniatt
S2,10.5,6.56,-5.82,Is,Wynniatt
S2,11,5.41,-5.53,Is,Wynniatt
S2,11.5,5.84,-6.47,Is,Wynniatt
S2,12,6.69,-6.03,Is,Wynniatt
S2,12.8,6.42,-6.31,Is,Wynniatt
S2,13.4,6.53,-6.38,Is,Wynniatt
S2,14.1,6.38,-6.64,Is,Wynniatt
S2,15.6,6.53,-6.77,Is,Wynniatt
S2,16.6,6.5,-6.77,Is,Wynniatt
S2,17.1,6.09,-6.57,Is,Wynniatt
S2,17.6,6.27,-6.8,Is,Wynniatt
S2,18,6.98,-6.89,Is,Wynniatt
S2,18.5,6.74,-6.6,Is,Wynniatt
S2,18.9,7.35,-5.25,Is,Wynniatt
S2,20.1,7.04,-5.3,Is,Wynniatt
S2,20.7,7.46,-5.28,Is,Wynniatt
S2,21.2,7.78,-5.12,Is,Wynniatt
S2,21.8,7.58,-5.08,Is,Wynniatt
S2,22.4,7.71,-5.7,Is,Wynniatt
S2,23.1,7.6,-5.6,Is,Wynniatt
S2,23.7,7.41,-5.29,Is,Wynniatt
S2,24.8,7.37,-5.27,Is,Wynniatt
S2,25.3,7.75,-5.49,Is,Wynniatt
S2,25.8,7.69,-5.2,Is,Wynniatt
S2,26.8,7.57,-5.35,Is,Wynniatt
S2,27.6,6.55,-6.38,Is,Wynniatt
S2,28.1,7.69,-5.59,Is,Wynniatt
