sample,unit,location,Cox_age,d13C,d18O,87Sr/86Sr_primary,Sr_ppm,Mn/Sr,Rb/Sr,reference
anchor,anchor,anchor,665,,,,,,,anchor
W1623.5,Johnny's Creek Mb.,Amadeus basin,793.7,6.5,-7.1,0.70639,,,,This paper
W1704.7,Johnny's Creek Mb.,Amadeus basin,798.8,4.9,-8.7,0.70639,,,,This paper
W1734.2,Johnny's Creek Mb.,Amadeus basin,800,6.1,-4.9,0.70652,,,,This paper
W1640.5,Johnny's Creek Mb.,Amadeus basin,795.1,6.8,-6.9,0.70637,,,,This paper
GR9-369.5,Upper Ymer Gp.,East Greenland,793.4,5.2,-7.5,0.70684,4280,0,0.03,This paper
GR9-337.4,Upper Ymer Gp.,East Greenland,794.5,5.4,-7.8,0.70678,2630,0.01,0.05,This paper
GR9-326,Upper Ymer Gp.,East Greenland,794.9,5,-7.7,0.70694,2110,0.02,0.07,This paper
GR9-310,Upper Ymer Gp.,East Greenland,795.4,5.2,-6.9,0.70675,3840,0.01,0.04,This paper
GR9-297,Upper Ymer Gp.,East Greenland,795.9,,,0.70691,1180,0.04,0.12,This paper
GR9-274,Upper Ymer Gp.,East Greenland,796.4,4.9,-7.5,0.70688,1230,0.01,0.12,This paper
G332-489.9,Russoya Mb.,Svalbard,731.4,-4,-5,0.70675,,,,Halverson et al. (2007)
G22-9.1,Russoya Mb.,Svalbard,737.3,0.9,-4.1,0.70674,623,0.07,,Halverson et al. (2007)
G22-1.3,Russoya Mb.,Svalbard,738,,,0.70672,542,0.06,,Halverson et al. (2007)
G332-377.6,Russoya Mb.,Svalbard,742.9,7.1,-4.1,0.70675,,,,Halverson et al. (2007)
G523-31.4,Russoya Mb.,Svalbard,744.5,4.4,-4.6,0.70679,354,,,This paper
G523-29.3,Russoya Mb.,Svalbard,744.7,4,-3.7,0.70662,1290,,,This paper
G523-27,Russoya Mb.,Svalbard,744.8,3.6,-3.9,0.707,1120,,,This paper
G523-24.8,Russoya Mb.,Svalbard,745,3,-4.3,0.70668,990,,,This paper
G523-23.3,Russoya Mb.,Svalbard,745.1,2.7,-5.2,0.70701,899,,,This paper
G523-22.4,Russoya Mb.,Svalbard,745.3,2.6,-5,0.70669,1360,,,This paper
G4-49.1,Russoya Mb.,Svalbard,746.5,2.7,-6.4,0.70677,358,0.16,,Halverson et al. (2007)
M6-131.8,Backlund. Fm.,Svalbard,774.5,8.2,-4.9,0.70687,1860,0,,Halverson et al. (2007)
M6-102.9,Backlund. Fm.,Svalbard,775.9,8,-5.9,0.7069,2740,0.01,,Halverson et al. (2007)
G15-90.1,Backlund. Fm.,Svalbard,776.4,7.2,-5.9,0.70693,2560,0.02,,Halverson et al. (2007)
G15-78.6,Backlund. Fm.,Svalbard,776.9,7.5,-5.8,0.70695,2980,0.01,,Halverson et al. (2007)
G15-45.6,Backlund. Fm.,Svalbard,778.4,7.9,-5.3,0.70697,2540,0,,Halverson et al. (2007)
G15-29.8,Backlund. Fm.,Svalbard,779.1,8.2,-6.1,0.70697,3380,0.01,,Halverson et al. (2007)
G35-25.8,Svanberg. Fm.,Svalbard,797.3,4.9,-7.5,0.70649,739,0.02,,Halverson et al. (2007)
G35-0.3,Svanberg. Fm.,Svalbard,798,5.2,-8.3,0.70634,942,0.01,,Halverson et al. (2007)
G341-445.3,Svanberg. Fm.,Svalbard,799,4.3,-6.1,0.70661,1030,0.03,,Halverson et al. (2007)
G37-53.0,Svanberg. Fm.,Svalbard,799.1,6.2,-6.7,0.70617,1890,0.01,,Halverson et al. (2007)
G37-28.8,Svanberg. Fm.,Svalbard,799.9,4.1,-6.5,0.70651,739,0.1,,Halverson et al. (2007)
G19-71.8,Svanberg. Fm.,Svalbard,800.3,6,-6.3,0.70625,993,0.07,,Halverson et al. (2007)
G19-57.2,Svanberg. Fm.,Svalbard,800.6,5.9,-6.8,0.70629,964,0.06,,Halverson et al. (2007)
G37-27.8,Svanberg. Fm.,Svalbard,800.8,,,0.70644,780,0.09,,Halverson et al. (2007)
G155-130,Svanbergfjellet,Svalbard,802.7,-2.45,-5.91,0.70636,651,0.05,,Halverson et al. (2007)
